person_nid,person_title,person_round,person_house,country_nid,country_title,person_firstname,person_lastname,person_firstname_local,person_lastname_local,person_bday,person_gender,person_born_abroad,person_birthplace,person_birthcountry,person_marital_stat,person_numchild,person_occupation_1,person_occupation_2,person_occupation_3,person_family_clan_link,person_family_clan_name,person_family_clan_nam_rel,person_lang_native_nid,person_lang_native_title,person_lang_native_rel,person_lang_native_other,person_lang_spoken_nid,person_lang_spoken_title,person_lang_spoken_other,person_lang_english,person_lang_french,person_lang_arabic,person_lang_spanish,person_lang_chinese,person_lang_german,person_lang_russian,person_lang_portuguese,person_lang_other,person_lang_all_count,person_unv_name_1,person_unv_name_2,person_unv_name_3,person_ug_major_all,person_ug_major_1,person_ug_major_2,person_ug_major_3,person_education,person_college_country,person_abroad,person_eduwest,person_course_of_study,person_notes,person_aff_party_nid,person_aff_party,person_party_aff_nonpartisan,person_party_aff_power,person_party_aff_position,prsn_prty_aff_position_local,prsn_prty_aff_coalition_differ,person_party_aff_pol_exp,person_office_type_1,person_office_position_1,person_office_minposarea_1,person_office_minposarea_lo,person_office_service_began_1,prsn_office_srvc_bgn_cabi_1,person_office_terms_1,person_office_pm_participate_1,person_office_howmanydays_1,prsn_office_hwmnydys_miss_1,prsn_office_cnsttncy_nid_1,prsn_office_cnsttncy_title_1,person_office_type_2,person_office_position_2,person_office_minposarea_2,person_office_service_began_2,prsn_office_srvc_bgn_cabi_2,person_office_terms_2,person_office_pm_participate_2,person_office_howmanydays_2,prsn_office_hwmnydys_miss_2,prsn_office_cnsttncy_nid__2,prsn_office_cnsttncy_title_2,person_office_type_3,person_office_position_3,person_office_minposarea_3,person_office_service_began_3,prsn_office_srvc_bgn_cabi_3,person_office_terms_3,person_office_pm_participate_3,person_office_howmanydays_3,prsn_office_hwmnydys_miss_3,prsn_office_cnsttncy_nid_3,prsn_office_cnsttncy_title_3,terms,startReign
73341,Lars Løkke Rasmussen,"1,2",,71618,Denmark,Lars Løkke,Rasmussen,,,1964-01-01,Male,0.0,Vejle,Denmark,Married,3.0,"Employed: professional (accountant, architect, lawyer, medical doctor etc.)","Full-time politician (paid by party organisation, parliament, government; think tanks; living of politics)",,,,,71703,Danish,Assumed,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,,,,law,law,,,Post-graduate (anything except Ph.D. degree),,0.0,1.0,,,71714,Liberal Party (Venstre),No,Top ten,Prime Minister,Statsminister,,,Executive,Prime Minister,PM or equivalent,Statsminister,2015-01-01,,2,,,,0,,"Cabinet, Minister",,,,2015.0,2,,,,0,,Party leader,Party leader,,2009-01-01,,0,,,,0,,2,2015-01-01
51175,Sen Hun,"1,2",,36191,Cambodia,Sen,Hun,,,1951-01-01,Male,0.0,"Peam Koh Sna Commune, Stoeung Trang District of Kampong Cham Province, Cambodia",,Married,6.0,"Full-time politician (paid by party organisation, parliament, government; think tanks; living of politics)",,,,,,51173,Central Khmer|r,Assumed,r,38518,English,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,,,,social sciences,social sciences,,,Ph.D.,,0.0,0.0,Politics,Source: http://www.cnv.org.kh/,38790,Cambodia People Party,No,Apex,Vice-Chairman,អនុប្រធានគណបក្សប្រជាជនកម្ពុជា,No,Previous MP,Member of Parliament,,,,2008-01-01,,3,,,,0,,Executive,Prime Minister,,2008-01-01,,2,,,,0,,,,,,,0,,,,0,,2,2008-01-01
135400,Denis Sassou Nguesso,"1,2",,134845,Congo,Denis,Sassou Nguesso,,,1943-01-01,Male,0.0,"Edou, Cuvette Region",,Married,,"Full-time politician (paid by party organisation, parliament, government; think tanks; living of politics)",,,,Sassou-Nguesso,,135257,Other|Mbochi,Assumed,Mbochi,"135254,135255",French|Lingala,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,,,,military,military,,,"Higher education, non university",,1.0,0.0,,,135327,Congolese Workers Party,No,Apex,Member of PCT&#039;s Political Bureau,Membre du Bureau Politique du Comité Central du Parti Congolais du Travail,,Previous Minister,Executive,President,,,1997-01-01,,6,,,,0,,Executive,President,,1979-01-01,,6,,,,0,,Executive,President of the Republic,,1997-01-01,,2,,,,0,,2,1997-01-01
1316,Jong Il Kim,1,,1296,"Korea, North",Jong Il,Kim,,,1942-01-01,Male,1.0,"Vyatskoye, Khabarovsk",Union of Soviet Socialist Republics (no longer exists),,6.0,,,,,,,1314,Korean,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,,,,social sciences,social sciences,,,University / college,,1.0,0.0,,,1315,Worker's Party of Korea,No,Apex,General Secretary of the Worker&#039;s Party of Korea/ Standing member of Party Political Bureau/ Chairman of Party Central Military Commission,당 총비서 / 당 정치국 상무위원 / 당 중앙군사위원회 위원장,No,,Executive,Supreme Leader of North Korea,,,1992-01-01,,2,,,,0,,Executive staff,Chairman of National Defense Commission of North Korea,,2009-01-01,,0,,,,0,,Party leader,General Secretary of the Worker's Party of Korea,,2010-01-01,,0,,,,0,,2,1992-01-01
8046,Aníbal Cavaco Silva,1,,6047,Portugal,Aníbal,Cavaco Silva,,,1939-01-01,Male,0.0,Boliqueime,Portugal,Married,2.0,Education: university professor,"Full-time politician (paid by party organisation, parliament, government; think tanks; living of politics)",,,,,6050,Portuguese|Portuguese,,Portuguese,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,,,,economics / business / management,economics / business / management,,,Ph.D.,,,,,http://www.presidencia.pt/?idc=3,6054,Social-Democratic Party,No,Apex,,,,Previous Minister,Executive,President of the Republic,PM or equivalent,Prime Minister|Finances,2011-01-01,,2,,,,0,,"Cabinet, Minister",Prime Minister,finance / treasury / budget,1990-01-01,,2,,,,0,,"Cabinet, Minister",,,,,1,,,,0,,2,2011-01-01
5683,Mark Rutte,"1,2",,5588,Netherlands,Mark,Rutte,,,1967-01-01,Male,0.0,"The Hague, The Netherlands",Netherlands,Single,,"Employed: professional (accountant, architect, lawyer, medical doctor etc.)","Employed: middle management (department head, technician etc.)",Employed: top management / director / CEO,,,,5590,Dutch; Flemish,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,,,,humanities,humanities,,,Post-graduate (anything except Ph.D. degree),,0.0,0.0,History,,5651,People's Party for Freedom and Democracy,No,Apex,Political Leader of Party,Politiek Leider,No,Previous Minister,Party leader,Party Leader and List Leader VVD,,,2006-01-01,,4,,,,0,,Executive,Prime Minister,,2010-01-01,,2,,,,0,,,,,,,0,,,,0,,2,2010-01-01
6792,Vladimir Voronin,"1,2",,6356,"Moldova, Republic of",Vladimir,Voronin,,,1941-01-01,Male,0.0,"Corjova, Dubasari","Moldova, Republic of",Married,2.0,"Employed: middle management (department head, technician etc.)","Full-time politician (paid by party organisation, parliament, government; think tanks; living of politics)",,,,,"6357,6358",Romanian; Moldavian; Moldovan|Russian,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2,,,,economics / business / management|engineering|social sciences,economics / business / management,engineering,social sciences,Post-graduate (anything except Ph.D. degree),,0.0,1.0,"Academy of Social Sciences, Moscow, USSR - Party School",Has also graduated from Academy of Interior Affairs of USSR - was the minister of Interior of Soviet Moldova (1989-1990) and is a general-colonel of the Militia.,6747,Communist Party of the Republic of Moldova,No,Apex,President,Presedinte,No,Party organization/administration,Member of Parliament,Deputy,,,2009-01-01,,0,,,,0,,Executive,President,,2001-01-01,,2,,,,0,,,President,,2001-01-01,,0,,,,0,,2,2001-01-01
8095,Nebojsa Radmanovic,"1,2",Upper House,3879,Bosnia and Herzegovina,Nebojsa,Radmanovic,,,1949-01-01,Male,0.0,"Gracanica, Bosnia and Herzegovina",Bosnia and Herzegovina,Married,2.0,"Full-time politician (paid by party organisation, parliament, government; think tanks; living of politics)",,,,Radmanovic,,3890,Serbian,,,"3881,3889",Bosnian|Croatian,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,,,,humanities,humanities,,,University / college,,1.0,1.0,Humanities,,5974,Alliance of Independent Social Democrats,No,Top ten,Vice President,,,Local government,Member of Parliament,Member of the House of Peoples,,,2014-01-01,,0,,,,282122,republika srpska,Executive,Member of the Presidency of Bosnia and Herzegovina ,,,,2,,,,0,,,,,,,0,,,,0,,2,
5960,Zeljko Komsic,"1,2",Lower House,3879,Bosnia and Herzegovina,Zeljko,Komsic,,,1964-01-01,Male,0.0,"Sarajevo, Bosnia and Herzegovina ",Bosnia and Herzegovina,Married,2.0,"Full-time politician (paid by party organisation, parliament, government; think tanks; living of politics)",,,,Komsic,,3889,Croatian,,,"3881,3890",Bosnian|Serbian,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,,,,law,law,,,University / college,,0.0,1.0,Law,,4389,Social Democratic Party of Bosnia and Herzegovina,No,Apex,Member of the Presidency of the Social Democratic Party of Bosnia and Herzegovina,Clan Predsjednistva Socijal Demokratske Partije BiH,No,Municipal position,Member of Parliament,Member of the House of Representatives of the Parliamentary Assembly of Bosnia and Herzegovina ,,,2014-01-01,,0,,,,282116,federacija bosne i hercegovine,Party leader,Democratic Front ,,2013-01-01,,0,,,,0,,Executive,Member of the Presidency of Bosnia and Herzegovina (rotating chair),,,,2,,,,0,,2,
5945,Vladimir Vladimirovich Putin,"1,2",,5758,Russian Federation,Vladimir Vladimirovich,Putin,,,1952-01-01,Male,0.0,Leningrad (St. Petersburg),Union of Soviet Socialist Republics (no longer exi...,Divorced,2.0,"Full-time politician (paid by party organisation, parliament, government; think tanks; living of politics)",,,,,,5768,Russian,,,5768,Russian,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2,,,,law,law,,,Post-graduate (anything except Ph.D. degree),,0.0,1.0,,http://putin.kremlin.ru/bio - official webpage of President of Russian Federation,5759,United Russia,No,Apex,Chair,Председатель,No,Supra-national other interest group,Executive,President,,,2012-01-01,,2,,,,0,,Other unelective bodies,"Security Council, Member",,,,0,,,,0,,,,,,,0,,,,0,,2,2012-01-01
43043,Robert Fico,"1,2",,25071,Slovakia,Robert,Fico,,,1964-01-01,Male,0.0,"Topoľčany, Czechoslovakia ",Czechoslovakia (no longer exists),Married,1.0,Education: university professor,"Full-time politician (paid by party organisation, parliament, government; think tanks; living of politics)",,,,,25119,Slovak,,,25427,Czech,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2,,,,law,law,,,Post-graduate (anything except Ph.D. degree),,0.0,1.0,law,"Robert Fico (born September 15, 1964) served as the the Prime Minister of Slovakia  from July 4, 2006 to July 8, 2010.

He is the leader of the left-wing party Direction â€“ Social Democracy (Slovak: SMER â€“ SociÃ¡lna demokracia). The party won the parliamentary elections in 2006, receiving approximately 30 percent of the cast votes. After the victory he created a coalition with the Slovak National Party an extremist[1][2][3] nationalist party[1][2][4] led by JÃ¡n Slota and with the People's Party - Movement for a Democratic Slovakia led by VladimÃ­r MeÄiar.
Life and career

Fico was born in a working class family on September 15, 1964, in the town of TopoÄ¾Äany. His father was a forklift operator and his mother worked in a shoe store. Fico has two siblings, brother Ladislav and a sister Lucia. He is married to a wife Svetlana, they have one son together.

Fico acquired his legal education during the communist rule in then-[[Czechoslovakia\\. He graduated from the Law Faculty of the Comenius University at Bratislava and later worked for the Institute of State and Law of the Slovak Academy of Sciences, a communist take on a think-tank body. Fico joined the Communist Party of Czechoslovakia in 1987.

After the Velvet Revolution of 1989, following the collapse of the communist regime in Czechoslovakia, Fico joined the Party of the Democratic Left (SDL), a successor of the Communist Party of Slovakia. From 1994 to 2000 Fico as a political appointee represented Slovakia as its legal counsel at the European Court of Human Rights. During this time Fico lost all 14 cases he handled.[5]

In 1999 Fico left his SDL party whose support had meanwhile dropped below the threshold required to get into parliament. Subsequently he founded a new party called SMER (Direction). Although at first presented as a centrist party, the Fico's new party project soon shifted towards a more extreme and populist leftist rhetoric,[citation needed] the part of the political spectrum having been left vacant after the disintegration of Fico's previous SDL party.

Fico soon became one of the most popular opposition politicians in Slovakia. His rhetoric was most often aimed at the ongoing reforms being carried out at the time by the right wing government of MikulÃ¡Å¡ Dzurinda. Although praised by international politicians, institutions and economists alike,[6][7] Dzurindaâ€™s reformsâ€™ short-term negative impacts increased the appeal and popularity of Fico's populist rhetoric, particularly among the countryside population, elderly, lower social classes, and voters with a lower level of education, which to this day make up the majority of his electorate.[citation needed]

In the parliamentary elections of 2002, Fico's SMER received 13.46% of the votes and became the third largest party. The result was much lower than the pre-election estimates and Fico openly called it a failure. In the following four years Fico continued with his sharp anti-reform and populist rhetoric, gradually increasing his party's numbers in opinion polls.
[edit] 2006 Government Coalition

In the elections in 2006 SMER won with 29.1% of the votes and formed a coalition government with VladimÃ­r MeÄiar's HZDS and JÃ¡n Slota's SNS.

In addition to MeÄiar's and Slota's controversial political past, Slota and his nationalist and anti-Hungarian SNS party presented a problem of its own, especially in light of Fico's SMER party's attempt to present itself as a modern, socialist and pro-European party. JÃ¡n Slota has been known for his frequent vulgar, defamatory and hatred-inciting anti-gypsy and anti-Hungarian remarks,[8] including a drunken public speech in which he called for Slovaks to ""get in tanks and level Budapest to the ground"".[9][10]

As a result of Fico's decision to form government with Slotaâ€™s extremist SNS, the EU-wide Party of European Socialists suspended Fico's party application to join them. In late February 2008 however the Assembly of PES partially reversed this decision, conditionally reinstating the application after both SMER and SNS sent the PES a signed letter, committing themselves to respect minority rights. Slotaâ€™s numerous nationalist and hate inciting remarks[11][12] made since have gone largely ignored by the PES and have not effected SMERâ€™s application.

Fico himself has never publicly criticized or condemned Slota's remarks and speeches and as an obvious result of JÃ¡n Slota's conduct the government-level relations between Slovakia and the neighbouring Hungary deteriorated to an unprecedented level. Several meetings between two countries' prime ministers were abruptly canceled and those few that did take place resulted in little progress or improvement of relations.[13]
[edit] 2010 Election campaign
See also: Slovak parliamentary election, 2010

Before the 2010 elections, Fico's party, seeking reelection was in a relatively strong position according to several polls. However just before the election a political scandal broke out, described as one of the gravest in the country's 17-year history.[14] A voice recording surfaced in which a voice strongly resembling Fico's [15] claims that he raised several million euros in undeclared funds for the 2002 election as well as calling for a ""parallel financial structure"" to be created for the financing of Smer's election campaign. Slovak media sources such as SME carried the news about the recording in great detail, however Fico dismmissed it as forgery.[14] Fico also attacked the media sources that published information about the recording, saying ""Should I go over there and give you a smack because you are scoundrels? What you are doing is unheard of. You are masturbating on the prime minister every day.""[14] Fico has since been interrogated on this, SME announced. Daniel Lipsic told the press he handed the recording to the general attorney office.

In the election, Fico's SMER remained the biggest party in Parliament, with 62 seats. However, his coalition partners were decimated, with the HZDS being completely shut out. Unable to find a partner willing to given him the 14 seats he needed to stay in office, Fico resigned. He said he ""respects the election result"" and expressed his desire to lead a resolute opposition after his narrow loss. [16]
[edit] Domestic policy
Robert Fico meeting with Serbian President Boris TadiÄ‡.

A large part of Ficoâ€™s election victory was largely attributed to his loud criticism of the previous right-wing governmentâ€™s economic, tax, social, pension and legislative reforms. The reforms were generally perceived as very positive and successful by such international bodies as IMF, the World Bank or the OECD,[17] however they negatively affected certain segments of the population, particularly low wage earners, the unemployed, and welfare and other social assistance recipients.

While in opposition, and primarily during the election campaign, Fico vowed to reverse and cancel the majority of the reforms, however upon taking the office he adopted a substantially more cautious approach. Fico inherited the economy in an excellent condition which was generally attributed to the said reforms. The country was achieving a record-high GDP growth and it was starting to fulfill the Maastricht criteria required for the Euro currency adoption, for which the country was aspiring at the time (Slovakia eventually adopted the euro currency on January 1, 2009 as third of the former Soviet-block countries).

As a result, contrary to his numerous pre-election promises and declarations, Fico implemented only a few changes that were deemed mainly cosmetic and did not substantially change any of the reforms. According to analysts, the likely reason for Fico's turnaround from his election promises was the realization of the catastrophic consequences the cancellation of the reforms would have on the economy.[18] In retrospect Slovakia seems to now have a balance between the free market and some social protection.

The most successful reform Fico did introduce was in establishing some reasonable standards in how many times employees may be kept on as temporary workers instead of being given permanent contracts. Under the one-sided, pro-employer legislation of the Mikulas Dzurinda government an employer could (and many did) keep new staff as temps and create a two-tier workforce. Generally Slovak labour regulation is in tune with most other EU states.

One of few modifications Fico's government did implement was a slight modification to the unconventional and economist-praised flat tax system introduced by the previous government in a way that slightly decreased or eradicated a tax-free part of income for higher income earners. Presented as a millionaire tax to Fico's electorate, the tax change essentially impacted everyone earning over â‚¬1200 a month, yet had minimal or no impact on those earning over â‚¬3000 a month. A lower VAT was imposed on medications and books, though in spite of his election promises Fico failed to extend this onto a wider group of products such as groceries. The Economic crisis of 2008-9 seems to have stopped efforts for more progressivity in the tax system.

Among the more radical measures were controversial legislative changes which effectively banned private health insurance companies from generating profit. As a result Slovakia is being sued by several foreign shareholders of local health insurers through international arbitrations.[19]

In health care, Fico abolished fees that people had to pay when visiting a doctor or a hospital, introduced by the previous government, however no further much-needed reforms have been carried out in the health care system since, resulting in a record high system debts and numerous hospital closures.[20]

In 2007, Fico unsuccessfully tried to regulate retail food prices, an unprecedented effort in a generally free market European union.[21] His legislative measures however failed due to various loopholes that were essentially impossible to close without violating fundamental free market principles.

In August 2008, Fico threatened the foreign shareholders of a local gas distributor SPP, the French Gaz de France and the German E.ON, with nationalization and seizure of their ownership shares in a dispute over retail gas price.[22][23]

Fico is an active proponent of nuclear energy.

In 2010 Fico faced large scale protests and a blockade of major cities by truckers upset by badly implemented toll on first class highways. Truckers demanded that the price of fuel be reduced to compensate for the toll.[24] Fico first refused to speak with representatives of the truckers, saying ""he won't be blackmailed"", a few days later he capitulated giving in to the demands. The tax cut given to truckers will amount to about 100 million EUR.[24]
[edit] Foreign policy
Robert Fico with Mirko CvetkoviÄ‡ during the state visit to Serbia

In foreign policy, Fico and his government have faced substantial difficulties in achieving political acceptance abroad, mainly due to his coalition with the controversial and internationally isolated parties of VladimÃ­r MeÄiar and Jan Slota.

Fico himself created several controversies, for example having attended a reception organized by the Cuban Embassy in Bratislava commemorating an anniversary of Castro's revolution, or announcing that one of his first foreign trips would include Libya, China or Venezuela.[25]

Compensating his lack of close political allies within the EU (head of the Czech social democrats Jiri Paroubek being a notable exception), Fico has been actively strengthening relations with several non-EU countries such as Serbia or Russia. For example Slovakia modernized Russian MiG-fighters in Russia and did not buy new NATO-standard jets in the West.[26] Additionally Fico condemned Georgia in 2008 for the aggression against South Ossetia.[27]

Fico is an opponent of the planned construction of new US ABM and radar systems in military bases in the neighbouring Czech Republic and Poland (also criticized by Russia)[28] and one of the first steps upon taking the office was a military pullout from Iraq.

Robert Fico has strongly opposed unilateral declaration of independence of Kosovo, as a result of which Slovakia has not recognized Kosovo as a sovereign state.
[edit] Ficoâ€™s views on Communism

One of Ficoâ€™s famous remarks is his comment on his perception of the 1989 Velvet Revolution, which peacefully brought down the communist regime in Czechoslovakia and helped bring down the Soviet rule in all of Eastern Europe. He has been quoted saying as â€œnot having noticed it (the revolution) due to being busy at workâ€ (at the communist ministry of justice) and he has referred to the Velvet Revolution as â€œan ordinary coup that did not influence his life in any visible way."" [29]

Fico has often defended the communist regime as being more social than the capitalist one. Fico has remained unapologetic about his membership in the Communist Party of Czechoslovakia prior to the regime's collapse. He also mentioned in a radio talkshow that he has not noticed a significant progress since the Velvet Revolution.
[edit] Fico and the media

Fico is known for his hostile and often bumpy relationship with the media. During his press conferences he often verbally attacks, lectures and taunts the present journalists, often accusing them of bias and attacks on his government. On several occasions he has openly and on record used profanities against specific journalists (â€œidiotsâ€, â€œpricksâ€).[30][31]

Fico often sues media for libel. Although most of his lawsuits are aimed at tabloids, he has also sued broadsheet dailies (SME, Pravda) as well as an economic weekly Trend. He has won several of the lawsuits, while others have been dismissed. As of March 2009 Fico has more than 10 pending libel lawsuits with a tabloid weekly Plus 7 Days alone. Some of Fico's lawsuits are based solely on a headline, or a satiric cartoon. Several of the court judgments have raised serious concerns about the freedom of press in Slovakia, especially in the cases when besides an apology Fico had also been awarded substantial financial compensatory damages.

Since taking up the office as a prime minister, Fico has granted only one press media interview, to tabloid daily Novy Cas. Although a frequent participant in televised political debates prior to the elections, since then he has only attended televised shows with no political opponents present.

In his ongoing feud with the media, Fico has often been quoted as suggesting that the government should own and operate its own media outlets to assure ""objective"" information about the government.

Fico often tries to dictate to the media what they should cover, and subsequently taunts them when they don't. Fico has on several occasions issued a bizarre and unusual apologies to several foreign politicians, whose visit of Slovakia Fico felt were largely ignored by the media. One such example was the visit of the Russian prime minister Zubkov in April 2008. Most media did not consider the visit of the virtually unknown Zubkov substantially newsworthy hence only minimal coverage was done. To make matters worse, during the press conference the journalists were not allowed to ask any questions. Subsequently Fico sent Zubkov a letter of apology where he apologized for the Slovak media's lack of interest in his visit",26383,SMER - Social Democracy,No,Apex,Chairman,Predseda,No,Political advisor,Executive,Prime Minister,PM or equivalent,,2016-01-01,2016.0,1,,,,0,,Member of Parliament,,,2010-01-01,,5,,,,0,,"Cabinet, Minister",Deputy Speaker,,2010-01-01,2016.0,2,,,,0,,1,2016-01-01
87617,Miomir Mugoša,1,,22400,Montenegro,Miomir,Mugoša,,,1950-01-01,Male,0.0,"Cetinje, Montenegro",,Divorced,2.0,"Employed: professional (accountant, architect, lawyer, medical doctor etc.)",,,,,,"84145,69995",Croatian|Serbian,Assumed,,,,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2,,,,medicine,medicine,,,Post-graduate (anything except Ph.D. degree),,1.0,1.0,General Surgury,,29056,Democratic Party of Socialists,No,Top ten,Member of the Ruling Board,Član Predsjedništva,,Party organization/administration,Executive,Mayor of Podgorica,,,2006-01-01,,1,,,,0,,Member of Parliament,,,2009-01-01,,2,,,,0,,,,,,,0,,,,0,,1,2006-01-01
26397,Yaakov Ganot,1,,24175,Israel,Yaakov,Ganot,,,1948-01-01,Male,,,,Married,2.0,Other,,,,,,24379,Hebrew,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,,,,,,,,,,,,,,0,,Yes,No,,,,,Executive staff,"Director General, Ministry of Transportation and Road Safety",,,2009-01-01,,0,,,,0,,Executive,"Director General, Ministry of Public Security",,2010-01-01,,1,,,,0,,Executive,"Director General, Ministry of Public Security",,2010-01-01,,1,,,,0,,1,2010-01-01
49965,Goodluck Jonathan,1,,24137,Nigeria,Goodluck,Jonathan,,,1957-01-01,Male,0.0,"Otueke, River State, Nigeria",,,2.0,"Full-time politician (paid by party organisation, parliament, government; think tanks; living of politics)",,,,,,25404,Other,,,25404,Other,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,,,,other,other,,,Ph.D.,,0.0,0.0,Zoology,,40052,People's Democratic Party,No,Apex,"Member, Board of Trustees",Leader,,Party organization/administration,Executive,Executive President of Nigeria,,,2010-01-01,,1,,,,0,,,,,,,0,,,,0,,,,,,,0,,,,0,,1,2010-01-01
29116,Phúc Nguyễn Xuân,"1,2",,24048,Viet Nam,Phúc,Nguyễn Xuân,,,1954-01-01,Male,0.0,Quảng Nam,Viet Nam,Married,2.0,"Full-time politician (paid by party organisation, parliament, government; think tanks; living of politics)",,,,Nguyen Xuan,,24394,Vietnamese,,,"24399,24439",English|Russian,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,,,,economics / business / management,economics / business / management,,,University / college,,0.0,0.0,Economics,,24154,Communist Party of Vietnam,No,No,standing member,Thành viên của Đảng,,Political advisor,Executive,Prime Minister ,relations with parliament,Thủ tướng chính phủ ,2016-01-01,,1,,,,0,,Member of Parliament,"Chairman of the National Council for Education and Human Resources Development, Chairman of the State Steering Committee on East Sea - Islands, Chairman of the Central Council for Emulation and Reward",,2011-01-01,,1,,,,0,,,"Member of 12, 13, 14th National Assembly ",,2016-01-01,,2,99.48%,,,0,,1,2016-01-01
80368,Hamid Karzai,1,,23327,Afghanistan,Hamid,Karzai,,,1957-01-01,Male,0.0,Karz,,Married,1.0,Other,,,,Karzai,Assumed,78626,Pushto; Pashto,Assumed,,78627,Persian,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,,,,social sciences,social sciences,,,Post-graduate (anything except Ph.D. degree),,1.0,0.0,Political Science,,0,,No,Apex,,,,Previous Minister,Executive,President of the Islamic Republic of Afghanistan,,,2009-01-01,,1,,,,0,,,,,,,0,,,,0,,,,,,,0,,,,0,,1,2009-01-01
51501,Jakaya Kikwete,1,,23317,"Tanzania, United Republic of",Jakaya,Kikwete,,,1950-01-01,Male,0.0,"Msoga, Bagamoyo District, Tanzania",,Married,8.0,"Full-time politician (paid by party organisation, parliament, government; think tanks; living of politics)",,,,Chief Mzee Mrisho Kikwete,Assumed,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,53602,Chama Cha Mapinduzi (CCM),No,Apex,National Chairperson,,No,Previous Minister,Executive,President of United Republic of Tanzania,,,2010-01-01,,1,,,,0,,,,,,,0,,,,0,,,,,,,0,,,,0,,1,2010-01-01
61328,Doctor Ali Mohammed Shein,"1,2",,23317,"Tanzania, United Republic of",Doctor Ali Mohammed,Shein,,,1948-01-01,Male,0.0,Pemba,"Tanzania, United Republic of",Married,,"Full-time politician (paid by party organisation, parliament, government; think tanks; living of politics)",,,,,,299623,Swahili,Assumed,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,,,,medicine,medicine,,,Ph.D.,,1.0,1.0,PhD in Clinical Biochemistry and Matabolic Medicine with focus on Inborn errors of Metabolism,"https://en.wikipedia.org/wiki/Ali_Mohamed_Shein
http://www.tanzania.go.tz/profiles/profiles/details/8",53602,Chama Cha Mapinduzi (CCM),No,Apex,He is expected to become vice Chairperson for Zanzibar,He is expected to become vice Chairperson for Zanzibar,No,Political advisor,Executive,President of  Zanzibar ,,,2010-01-01,,1,,,,0,,,,,,,0,,,,0,,,,,,,0,,,,0,,1,2010-01-01
6808,Jadranka Kosor,1,,5376,Croatia,Jadranka,Kosor,,,1953-01-01,Female,0.0,"Pakrac, Croatia",Croatia,Divorced,1.0,"Full-time politician (paid by party organisation, parliament, government; think tanks; living of politics)",Other,,,,,6836,Croatian|Croatian,,Croatian,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,,,,law,law,,,University / college,,0.0,1.0,,"Jadranka Kosor was born on July 1st 1953 in Pakrac, Croatia. She graduated from the Faculty of Law in Zagreb, after completing her high school education in Pakrac. 
Since 1972 Kosor worked as a journalist and in the beginning of the 1990-ties she specialized in covering issues relating to refugees and other humanitarian matters. Kosor received rewards for some of her journalistic work. She also writes poetry and has published four books. 
In 1995 she was elected into Parliament, serving also as the vice-president of the Parliament. Her engagement in the Croatian Democratic Union also included her position as vice-president of the party. In 2002 she was elected as the deputy president of the HDZ. In 2003 when the HDZ won the elections she became the minister for issues relating to family and war veterans. In 2008 she was the vice-president of the HDZ-led government while keeping her ministerial position. In 2009 she becomes the president of the HDZ and the prime minister after Ivo Sanader who held both functions previously resigned giving no sound explanation of his decision. 
Kosor has one son, Lovro. 

Source:
Official website of the Croatian government, in Croatian:
http://www.vlada.hr/hr/naslovnica/o_vladi_rh/clanovi_vlade/jadranka_kosor_dipl_iur",6793,Croatian Democratic Union,No,Apex,president of the party,predsjednica stranke,No,Previous Minister,Executive,Prime Minister,,,2009-01-01,,1,,,,0,,Party leader,president of the Croatian Democratic Union (HDZ),,2009-01-01,,0,,,,0,,,,,,,0,,,,0,,1,2009-01-01
